Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H169: Ground Truth = 80.91s, AI Model = 1.05s, Speed-up = 98.70%, Speed-up Factor = 77.06x
Hydrograph H170: Ground Truth = 75.85s, AI Model = 1.04s, Speed-up = 98.63%, Speed-up Factor = 72.93x
Hydrograph H171: Ground Truth = 70.85s, AI Model = 1.49s, Speed-up = 97.90%, Speed-up Factor = 47.55x
Hydrograph H172: Ground Truth = 80.92s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.73x
Hydrograph H173: Ground Truth = 70.86s, AI Model = 1.05s, Speed-up = 98.52%, Speed-up Factor = 67.49x
Hydrograph H174: Ground Truth = 75.85s, AI Model = 0.98s, Speed-up = 98.71%, Speed-up Factor = 77.40x
Hydrograph H175: Ground Truth = 80.85s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.35x
Hydrograph H176: Ground Truth = 80.91s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.19x
Hydrograph H177: Ground Truth = 85.93s, AI Model = 0.97s, Speed-up = 98.87%, Speed-up Factor = 88.59x
Hydrograph H178: Ground Truth = 80.89s, AI Model = 1.05s, Speed-up = 98.70%, Speed-up Factor = 77.04x
Hydrograph H179: Ground Truth = 80.93s, AI Model = 1.50s, Speed-up = 98.15%, Speed-up Factor = 53.95x
Hydrograph H180: Ground Truth = 80.93s, AI Model = 1.08s, Speed-up = 98.67%, Speed-up Factor = 74.94x
Hydrograph H181: Ground Truth = 80.92s, AI Model = 1.18s, Speed-up = 98.54%, Speed-up Factor = 68.58x
Hydrograph H182: Ground Truth = 86.10s, AI Model = 0.66s, Speed-up = 99.23%, Speed-up Factor = 130.45x
Hydrograph H183: Ground Truth = 80.94s, AI Model = 1.31s, Speed-up = 98.38%, Speed-up Factor = 61.79x
Hydrograph H184: Ground Truth = 75.86s, AI Model = 0.66s, Speed-up = 99.13%, Speed-up Factor = 114.94x
Hydrograph H185: Ground Truth = 75.84s, AI Model = 0.85s, Speed-up = 98.88%, Speed-up Factor = 89.22x
Hydrograph H186: Ground Truth = 70.84s, AI Model = 1.05s, Speed-up = 98.52%, Speed-up Factor = 67.47x
Hydrograph H187: Ground Truth = 75.84s, AI Model = 1.28s, Speed-up = 98.31%, Speed-up Factor = 59.25x
Hydrograph H188: Ground Truth = 75.84s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.19x
Hydrograph H189: Ground Truth = 75.84s, AI Model = 1.48s, Speed-up = 98.05%, Speed-up Factor = 51.24x
Hydrograph H190: Ground Truth = 80.91s, AI Model = 1.28s, Speed-up = 98.42%, Speed-up Factor = 63.21x
Hydrograph H191: Ground Truth = 85.92s, AI Model = 0.63s, Speed-up = 99.27%, Speed-up Factor = 136.38x
Hydrograph H192: Ground Truth = 80.87s, AI Model = 1.40s, Speed-up = 98.27%, Speed-up Factor = 57.76x
Hydrograph H193: Ground Truth = 81.12s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.63x
Hydrograph H194: Ground Truth = 80.92s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.25x
Hydrograph H195: Ground Truth = 80.92s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.73x
Hydrograph H196: Ground Truth = 85.92s, AI Model = 1.06s, Speed-up = 98.77%, Speed-up Factor = 81.06x
Hydrograph H197: Ground Truth = 75.87s, AI Model = 0.98s, Speed-up = 98.71%, Speed-up Factor = 77.42x
Hydrograph H198: Ground Truth = 80.96s, AI Model = 0.65s, Speed-up = 99.20%, Speed-up Factor = 124.55x
Hydrograph H199: Ground Truth = 76.00s, AI Model = 1.04s, Speed-up = 98.63%, Speed-up Factor = 73.08x
Hydrograph H200: Ground Truth = 75.84s, AI Model = 0.84s, Speed-up = 98.89%, Speed-up Factor = 90.29x
Hydrograph H201: Ground Truth = 75.85s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.20x
Hydrograph H202: Ground Truth = 75.84s, AI Model = 1.30s, Speed-up = 98.29%, Speed-up Factor = 58.34x
Hydrograph H203: Ground Truth = 85.88s, AI Model = 1.20s, Speed-up = 98.60%, Speed-up Factor = 71.57x
Hydrograph H204: Ground Truth = 85.94s, AI Model = 1.48s, Speed-up = 98.28%, Speed-up Factor = 58.07x
Hydrograph H205: Ground Truth = 81.17s, AI Model = 1.04s, Speed-up = 98.72%, Speed-up Factor = 78.05x
Hydrograph H206: Ground Truth = 80.95s, AI Model = 1.60s, Speed-up = 98.02%, Speed-up Factor = 50.59x
Hydrograph H207: Ground Truth = 86.04s, AI Model = 0.97s, Speed-up = 98.87%, Speed-up Factor = 88.70x
Hydrograph H208: Ground Truth = 80.96s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.25x
Hydrograph H209: Ground Truth = 85.94s, AI Model = 1.29s, Speed-up = 98.50%, Speed-up Factor = 66.62x
Hydrograph H210: Ground Truth = 85.90s, AI Model = 1.75s, Speed-up = 97.96%, Speed-up Factor = 49.09x
Hydrograph H211: Ground Truth = 80.88s, AI Model = 0.65s, Speed-up = 99.20%, Speed-up Factor = 124.43x
Hydrograph H212: Ground Truth = 75.86s, AI Model = 0.63s, Speed-up = 99.17%, Speed-up Factor = 120.41x
Hydrograph H213: Ground Truth = 75.84s, AI Model = 1.30s, Speed-up = 98.29%, Speed-up Factor = 58.34x
Hydrograph H214: Ground Truth = 75.85s, AI Model = 0.64s, Speed-up = 99.16%, Speed-up Factor = 118.52x
Hydrograph H215: Ground Truth = 81.14s, AI Model = 1.11s, Speed-up = 98.63%, Speed-up Factor = 73.10x
Hydrograph H216: Ground Truth = 80.83s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.18x
Hydrograph H217: Ground Truth = 80.93s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.43x
Hydrograph H218: Ground Truth = 85.97s, AI Model = 0.98s, Speed-up = 98.86%, Speed-up Factor = 87.72x
Hydrograph H219: Ground Truth = 85.90s, AI Model = 0.65s, Speed-up = 99.24%, Speed-up Factor = 132.15x
Hydrograph H220: Ground Truth = 80.87s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.37x
Hydrograph H221: Ground Truth = 80.89s, AI Model = 1.04s, Speed-up = 98.71%, Speed-up Factor = 77.78x
Hydrograph H222: Ground Truth = 85.95s, AI Model = 0.85s, Speed-up = 99.01%, Speed-up Factor = 101.12x
Hydrograph H223: Ground Truth = 80.99s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.30x
Hydrograph H224: Ground Truth = 75.86s, AI Model = 1.04s, Speed-up = 98.63%, Speed-up Factor = 72.94x
Hydrograph H225: Ground Truth = 75.86s, AI Model = 0.84s, Speed-up = 98.89%, Speed-up Factor = 90.31x
Hydrograph H226: Ground Truth = 75.99s, AI Model = 0.86s, Speed-up = 98.87%, Speed-up Factor = 88.36x
Hydrograph H227: Ground Truth = 75.85s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.20x
Hydrograph H228: Ground Truth = 75.83s, AI Model = 0.86s, Speed-up = 98.87%, Speed-up Factor = 88.17x
Hydrograph H229: Ground Truth = 75.83s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.18x
Hydrograph H230: Ground Truth = 85.89s, AI Model = 0.66s, Speed-up = 99.23%, Speed-up Factor = 130.14x
